snapshotCount,particleCount,webgl_float,webgl_uint
1,1,0,0
1,2,0,0
1,4,0,0
1,8,0,0
1,16,0,0
1,32,0,0
1,64,0,0
1,128,0,0
1,256,0,0
1,512,0,0
1,1024,0,0
2,1,2.513,1.125
2,2,0.133,1.083
2,4,0.125,0.844
2,8,0.612,0.837
2,16,0.336,0.888
2,32,0.128,1.053
2,64,0.133,1.073
2,128,0.057,1.267
2,256,0.071,1.421
2,512,0.287,5.203
2,1024,0.102,3.762
4,1,0.225,2.396
4,2,0.427,2.688
4,4,0.215,2.647
4,8,0.209,2.79
4,16,0.208,2.398
4,32,0.138,5.297
4,64,0.139,2.499
4,128,0.541,6.316
4,256,0.176,5.561
4,512,0.215,12.768
4,1024,0.282,20.973
8,1,4.343,7.983
8,2,0.382,8.204
8,4,0.443,8.397
8,8,3.211,8.284
8,16,4.172,5.685
8,32,0.334,5.853
8,64,0.33,6.945
8,128,0.428,12
8,256,0.477,22.32
8,512,3.47,52.009
8,1024,1.115,64.929
16,1024,3.612,197.808
16,1,0.91,12.631
16,2,0.805,12.336
16,4,0.7,12.667
16,8,0.637,1612.366
16,16,0.648,15.916
16,32,0.711,14.61
16,64,0.829,23.319
16,128,1.05,38.824
16,256,1.41,66.855
16,512,2.161,115.964
32,1024,13.892,521.998
32,1,1.365,26.085
32,2,1.548,25.332
32,4,1.277,27.522
32,8,1.311,31.041
32,16,4.481,38.64
32,32,1.635,43.155
32,64,4.433,71.369
32,128,5.741,118.345
32,256,4.259,200.344
32,512,7.591,328.483
64,1024,59.267,1483.424
64,1,2.868,56.635
64,2,3.058,1594.968
64,4,2.631,57.639
64,8,2.914,87.536
64,16,3.541,101.77
64,32,4.908,124.832
64,64,5.581,206.199
64,128,8.528,333.759
64,256,14.575,519.836
64,512,28.188,856.967
128,1,6.036,140.644
128,2,5.848,137.244
128,4,8.103,156.218
128,8,7.461,193.299
128,16,8.262,249.106
128,32,11.105,341.325
128,64,17.323,527.091
128,128,29.514,854.248
128,256,61.597,1519.334
128,512,124.885,2837.925
128,1024,222.578,5404.671
256,1,16.329,263.432
256,2,13.639,1869.933
256,4,20.122,335.021
256,8,21.758,433.653
256,16,26.185,592.712
256,32,33.561,878.266
256,64,61.634,1525.749
256,128,99.316,2834.76
256,256,265.33,5474.582
256,512,430.123,10731.081
256,1024,790.434,21120.053
512,1,43.35,519.419
512,2,42.005,537.71
512,4,36.14,708.839
512,8,47.481,1034.795
512,16,64.682,1619.954
512,32,108.191,2829.27
512,64,185.399,5478.732
512,128,458.511,10687.391
512,256,913.047,21235.229
512,512,1580.894,42237.078
512,1024,2975.159,84124.517
1024,1,105.36,1272.776
1024,2,106.298,1274.251
1024,4,92.64,1890.7
1024,8,129.74,3246.224
1024,16,195.558,5681.076
1024,32,340.769,10740.571
1024,64,816.775,21229.82
1024,128,1625.643,42275.296
1024,256,3211.261,84203.547
1024,512,6012.568,168191.561
1024,1024,11620.602,336143.613